START_DATE,START_TIME,START_TIME_ET,SUBJECT,LOCATION,DESCRIPTION,END_DATE,END_DATE_ET,END_TIME,END_TIME_ET,REMINDER_OFF,REMINDER_ON,REMINDER_DATE,REMINDER_TIME,REMINDER_TIME_ET,SHOWTIMEAS_FREE,SHOWTIMEAS_BUSY
06/30/13,01:35 PM,01:35 PM,Brewers at Pirates,PNC Park,"Local TV: ROOT SPORTS ----- Local Radio: KDKA-FM 93.7",06/30/13,06/30/13,04:35 PM,04:35 PM,FALSE,TRUE,06/30/13,12:35 PM,12:35 PM,FREE,BUSY
07/02/13,07:05 PM,07:05 PM,Phillies at Pirates,PNC Park,"Local TV: ROOT SPORTS ----- Local Radio: KDKA-FM 93.7",07/02/13,07/02/13,10:05 PM,10:05 PM,FALSE,TRUE,07/02/13,06:05 PM,06:05 PM,FREE,BUSY
07/03/13,07:05 PM,07:05 PM,Phillies at Pirates,PNC Park,"Local TV: ROOT SPORTS ----- Local Radio: KDKA-FM 93.7",07/03/13,07/03/13,10:05 PM,10:05 PM,FALSE,TRUE,07/03/13,06:05 PM,06:05 PM,FREE,BUSY
07/04/13,01:35 PM,01:35 PM,Phillies at Pirates,PNC Park,"Local TV: ROOT SPORTS ----- Local Radio: KDKA-FM 93.7",07/04/13,07/04/13,04:35 PM,04:35 PM,FALSE,TRUE,07/04/13,12:35 PM,12:35 PM,FREE,BUSY
07/08/13,07:05 PM,07:05 PM,Athletics at Pirates,PNC Park,"Local TV: ROOT SPORTS ----- Local Radio: KDKA-FM 93.7",07/08/13,07/08/13,10:05 PM,10:05 PM,FALSE,TRUE,07/08/13,06:05 PM,06:05 PM,FREE,BUSY
07/09/13,07:05 PM,07:05 PM,Athletics at Pirates,PNC Park,"Local TV: ROOT SPORTS ----- Local Radio: KDKA-FM 93.7",07/09/13,07/09/13,10:05 PM,10:05 PM,FALSE,TRUE,07/09/13,06:05 PM,06:05 PM,FREE,BUSY
07/10/13,07:05 PM,07:05 PM,Athletics at Pirates,PNC Park,"Local TV: ROOT SPORTS -- ESPN ----- Local Radio: KDKA-FM 93.7",07/10/13,07/10/13,10:05 PM,10:05 PM,FALSE,TRUE,07/10/13,06:05 PM,06:05 PM,FREE,BUSY
07/12/13,07:05 PM,07:05 PM,Mets at Pirates,PNC Park,"Local TV: ROOT SPORTS ----- Local Radio: KDKA-FM 93.7",07/12/13,07/12/13,10:05 PM,10:05 PM,FALSE,TRUE,07/12/13,06:05 PM,06:05 PM,FREE,BUSY
07/13/13,07:15 PM,07:15 PM,Mets at Pirates,PNC Park,"Local TV: FOX ----- Local Radio: KDKA-FM 93.7",07/13/13,07/13/13,10:15 PM,10:15 PM,FALSE,TRUE,07/13/13,06:15 PM,06:15 PM,FREE,BUSY
07/14/13,01:35 PM,01:35 PM,Mets at Pirates,PNC Park,"Local TV: ROOT SPORTS ----- Local Radio: KDKA-FM 93.7",07/14/13,07/14/13,04:35 PM,04:35 PM,FALSE,TRUE,07/14/13,12:35 PM,12:35 PM,FREE,BUSY
